create_timestamp,player_id,score
2021/01/01 12:00,player0001,12345
2021/01/02 13:00,player0002,10000
2021/01/03 12:00,player0021,100
2021/01/04 12:10,player0031,200
2021/01/05 12:00,player0041,300
2021/01/06 13:00,player0002,20000
2021/01/06 14:00,player0001,100
2021/01/07 12:10,player0041,500
2021/01/08 12:00,player0041,10000
2021/01/09 13:00,player0002,1000
2021/01/09 14:00,player0021,1500
2021/01/10 14:00,player0002,5000
2021/01/11 12:10,player0031,2000
2021/01/12 12:00,player0001,10
2021/01/12 13:00,player0002,700
2021/01/12 14:00,player0002,1000
